annee,semaine,mois,date_debut,date_fin,categorie,prix,variation,unite,source
2023,10,,2023-03-06,2023-03-12,PRIX MOYEN PONDERE AU 100KILO NET (ÉLEVÉS AU PIS),948.5,16.4,EUR/100 kg net,COT-VRO-veaux_bouch_pis-A23-S10.csv
2023,10,,2023-03-06,2023-03-12,PRIX MOYEN PONDERE AUX 100 KG VIF,719.6,2.7,EUR/100 kg vif,COT-VRO-veaux_bouch_synthese-A23-S10.csv
2023,10,,2023-03-06,2023-03-12,PRIX MOYEN PONDERE AUX 100 KG NET DES VEAUX CLAIRS,771.5,1.5,EUR/100 kg net,COT-VRO-veaux_bouch_synthese-A23-S10.csv
2023,11,,2023-03-13,2023-03-19,ENTREE ABATTOIR,7.23,0.03,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,NON ELEVES AU PIS,7.15,0.03,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,ELEVES AU PIS,9.38,-0.11,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,PRIX MOYEN PONDERE AU 100KILO NET (NON ÉLEVÉS AU PIS),715.3,3.7,EUR/100 kg net,COT-VRO-veaux_bouch_non_pis-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,PRIX MOYEN PONDERE AU 100KILO NET (ÉLEVÉS AU PIS),938.1,-10.4,EUR/100 kg net,COT-VRO-veaux_bouch_pis-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,PRIX MOYEN PONDERE AUX 100 KG VIF,722.8,3.2,EUR/100 kg vif,COT-VRO-veaux_bouch_synthese-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,PRIX MOYEN PONDERE AUX 100 KG NET DES VEAUX CLAIRS,769.3,-2.2,EUR/100 kg net,COT-VRO-veaux_bouch_synthese-A23-S11.csv
2023,12,,2023-03-20,2023-03-26,ENTREE ABATTOIR,7.21,-0.02,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S12.csv
2023,12,,2023-03-20,2023-03-26,NON ELEVES AU PIS,7.16,0.01,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S12.csv
2023,12,,2023-03-20,2023-03-26,ELEVES AU PIS,9.4,0.02,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S12.csv
2023,12,,2023-03-20,2023-03-26,PRIX MOYEN PONDERE AU 100KILO NET (NON ÉLEVÉS AU PIS),715.9,0.6,EUR/100 kg net,COT-VRO-veaux_bouch_non_pis-A23-S12.csv
2023,12,,2023-03-20,2023-03-26,PRIX MOYEN PONDERE AU 100KILO NET (ÉLEVÉS AU PIS),939.5,1.4,EUR/100 kg net,COT-VRO-veaux_bouch_pis-A23-S12.csv
2023,12,,2023-03-20,2023-03-26,PRIX MOYEN PONDERE AUX 100 KG VIF,721.4,-1.4,EUR/100 kg vif,COT-VRO-veaux_bouch_synthese-A23-S12.csv
2023,12,,2023-03-20,2023-03-26,PRIX MOYEN PONDERE AUX 100 KG NET DES VEAUX CLAIRS,768.5,-0.8,EUR/100 kg net,COT-VRO-veaux_bouch_synthese-A23-S12.csv
2023,13,,2023-03-27,2023-04-02,ENTREE ABATTOIR,7.23,0.02,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S13.csv
2023,13,,2023-03-27,2023-04-02,NON ELEVES AU PIS,7.15,-0.01,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S13.csv
2023,13,,2023-03-27,2023-04-02,ELEVES AU PIS,9.64,0.24,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S13.csv
2023,13,,2023-03-27,2023-04-02,PRIX MOYEN PONDERE AU 100KILO NET (NON ÉLEVÉS AU PIS),714.5,-1.4,EUR/100 kg net,COT-VRO-veaux_bouch_non_pis-A23-S13.csv
2023,13,,2023-03-27,2023-04-02,PRIX MOYEN PONDERE AU 100KILO NET (ÉLEVÉS AU PIS),963.5,24,EUR/100 kg net,COT-VRO-veaux_bouch_pis-A23-S13.csv
2023,13,,2023-03-27,2023-04-02,PRIX MOYEN PONDERE AUX 100 KG VIF,722.8,1.4,EUR/100 kg vif,COT-VRO-veaux_bouch_synthese-A23-S13.csv
2023,13,,2023-03-27,2023-04-02,PRIX MOYEN PONDERE AUX 100 KG NET DES VEAUX CLAIRS,772.1,3.6,EUR/100 kg net,COT-VRO-veaux_bouch_synthese-A23-S13.csv
2023,14,,2023-04-03,2023-04-09,ENTREE ABATTOIR,7.2,-0.03,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S14.csv
2023,14,,2023-04-03,2023-04-09,NON ELEVES AU PIS,7.14,-0.01,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S14.csv
2023,14,,2023-04-03,2023-04-09,ELEVES AU PIS,9.46,-0.18,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S14.csv
2023,14,,2023-04-03,2023-04-09,PRIX MOYEN PONDERE AU 100KILO NET (NON ÉLEVÉS AU PIS),713.7,-0.8,EUR/100 kg net,COT-VRO-veaux_bouch_non_pis-A23-S14.csv
2023,14,,2023-04-03,2023-04-09,PRIX MOYEN PONDERE AU 100KILO NET (ÉLEVÉS AU PIS),946.4,-17.1,EUR/100 kg net,COT-VRO-veaux_bouch_pis-A23-S14.csv
2023,14,,2023-04-03,2023-04-09,PRIX MOYEN PONDERE AUX 100 KG VIF,720.2,-2.6,EUR/100 kg vif,COT-VRO-veaux_bouch_synthese-A23-S14.csv
2023,14,,2023-04-03,2023-04-09,PRIX MOYEN PONDERE AUX 100 KG NET DES VEAUX CLAIRS,769.1,-3,EUR/100 kg net,COT-VRO-veaux_bouch_synthese-A23-S14.csv
2023,15,,2023-04-10,2023-04-16,ENTREE ABATTOIR,7.18,-0.02,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S15.csv
2023,15,,2023-04-10,2023-04-16,NON ELEVES AU PIS,7.12,-0.02,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S15.csv
2023,15,,2023-04-10,2023-04-16,ELEVES AU PIS,9.56,0.1,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S15.csv
2023,15,,2023-04-10,2023-04-16,PRIX MOYEN PONDERE AU 100KILO NET (NON ÉLEVÉS AU PIS),711.8,-1.9,EUR/100 kg net,COT-VRO-veaux_bouch_non_pis-A23-S15.csv
2023,15,,2023-04-10,2023-04-16,PRIX MOYEN PONDERE AU 100KILO NET (ÉLEVÉS AU PIS),955.9,9.5,EUR/100 kg net,COT-VRO-veaux_bouch_pis-A23-S15.csv
