annee,semaine,mois,date_debut,date_fin,type_racial,sexe,conformation,poids,marche,unite,prix,variation,source
2025,4,,2025-01-20,2025-01-26,Croise Laitier,Mâle,P,,TALA,EUR/tête,140,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Croise Laitier,Mâle,P,,MOYENNE NATIONALE,EUR/tête,176.63,39.86,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Croise Laitier,Femelle,R,,AGEN,EUR/tête,155,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Croise Laitier,Femelle,R,,ARMO,EUR/tête,350,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Croise Laitier,Femelle,R,,CARE,EUR/tête,235,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Croise Laitier,Femelle,R,,CHAB,EUR/tête,245,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Croise Laitier,Femelle,R,,CHAG,EUR/tête,280,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Croise Laitier,Femelle,R,,LAMB,EUR/tête,390,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Croise Laitier,Femelle,R,,LEZA,EUR/tête,160,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Croise Laitier,Femelle,R,,TALA,EUR/tête,300,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Croise Laitier,Femelle,R,,MOYENNE NATIONALE,EUR/tête,250.34,11.98,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Croise Laitier,Femelle,O,,AGEN,EUR/tête,100,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Croise Laitier,Femelle,O,,ARMO,EUR/tête,300,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Croise Laitier,Femelle,O,,CARE,EUR/tête,145,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Croise Laitier,Femelle,O,,CHAB,EUR/tête,185,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Croise Laitier,Femelle,O,,CHAG,EUR/tête,210,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Croise Laitier,Femelle,O,,LAMB,EUR/tête,219,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Croise Laitier,Femelle,O,,LEZA,EUR/tête,80,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Croise Laitier,Femelle,O,,TALA,EUR/tête,220,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Croise Laitier,Femelle,O,,MOYENNE NATIONALE,EUR/tête,167.03,8.63,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Croise Laitier,Femelle,P,,CHAB,EUR/tête,140,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Croise Laitier,Femelle,P,,CHAG,EUR/tête,150,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Croise Laitier,Femelle,P,,LAMB,EUR/tête,133,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Croise Laitier,Femelle,P,,TALA,EUR/tête,110,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Croise Laitier,Femelle,P,,MOYENNE NATIONALE,EUR/tête,138.39,9.85,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Montbeliards,Mâle,,> 60 kg,BOUR,EUR/tête,325,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Montbeliards,Mâle,,> 60 kg,LEZA,EUR/tête,250,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Montbeliards,Mâle,,> 60 kg,TALA,EUR/tête,320,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Montbeliards,Mâle,,> 60 kg,MOYENNE NATIONALE,EUR/tête,309.33,2.77,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Montbeliards,Mâle,,55 a 60 kg,BOUR,EUR/tête,290,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Montbeliards,Mâle,,55 a 60 kg,LEZA,EUR/tête,200,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Montbeliards,Mâle,,55 a 60 kg,MOYENNE NATIONALE,EUR/tête,266.85,3.71,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Montbeliards,Mâle,,50 a 55 kg,BOUR,EUR/tête,220,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Montbeliards,Mâle,,50 a 55 kg,LEZA,EUR/tête,160,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Montbeliards,Mâle,,50 a 55 kg,TALA,EUR/tête,240,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Montbeliards,Mâle,,50 a 55 kg,MOYENNE NATIONALE,EUR/tête,213.55,2.77,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Montbeliards,Mâle,,45 a 50 kg,BOUR,EUR/tête,150,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Montbeliards,Mâle,,45 a 50 kg,LEZA,EUR/tête,130,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Montbeliards,Mâle,,45 a 50 kg,TALA,EUR/tête,160,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Montbeliards,Mâle,,45 a 50 kg,MOYENNE NATIONALE,EUR/tête,148.7,2.78,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Montbeliards,Mâle,,< 45 kg,BOUR,EUR/tête,70,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Montbeliards,Mâle,,< 45 kg,MOYENNE NATIONALE,EUR/tête,70,5,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Normands,Mâle,,> 60 kg,CARE,EUR/tête,185,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Normands,Mâle,,> 60 kg,CHAG,EUR/tête,200,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Normands,Mâle,,> 60 kg,LEZA,EUR/tête,200,,COT-VRO-veaux14j_9_marches-A25-S04.csv
