annee,semaine,mois,date_debut,date_fin,categorie,prix,variation,unite,source
2023,27,,2023-07-03,2023-07-09,MOYENNE AGNEAUX METROPOLE RUNGIS,9.13,-0.02,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S27.csv
2023,28,,2023-07-10,2023-07-16,P.M.P AGNEAUX,8.17,-0.04,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S28.csv
2023,28,,2023-07-10,2023-07-16,MOYENNE AGNEAUX METROPOLE RUNGIS,9.01,-0.12,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S28.csv
2023,29,,2023-07-17,2023-07-23,P.M.P AGNEAUX,8.18,0.01,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S29.csv
2023,29,,2023-07-17,2023-07-23,MOYENNE AGNEAUX METROPOLE RUNGIS,8.72,-0.29,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S29.csv
2023,30,,2023-07-24,2023-07-30,P.M.P AGNEAUX,8.12,-0.06,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S30.csv
2023,30,,2023-07-24,2023-07-30,MOYENNE AGNEAUX METROPOLE RUNGIS,8.04,-0.68,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S30.csv
2023,31,,2023-07-31,2023-08-06,P.M.P AGNEAUX,8.06,-0.06,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S31.csv
2023,31,,2023-07-31,2023-08-06,MOYENNE AGNEAUX METROPOLE RUNGIS,7.96,-0.08,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S31.csv
2023,32,,2023-08-07,2023-08-13,P.M.P AGNEAUX,8,-0.06,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S32.csv
2023,32,,2023-08-07,2023-08-13,MOYENNE AGNEAUX METROPOLE RUNGIS,7.96,0,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S32.csv
2023,33,,2023-08-14,2023-08-20,P.M.P AGNEAUX,8.02,0.02,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S33.csv
2023,33,,2023-08-14,2023-08-20,MOYENNE AGNEAUX METROPOLE RUNGIS,7.96,0,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S33.csv
2023,34,,2023-08-21,2023-08-27,P.M.P AGNEAUX,8,-0.02,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S34.csv
2023,34,,2023-08-21,2023-08-27,MOYENNE AGNEAUX METROPOLE RUNGIS,8.02,0.06,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S34.csv
2023,35,,2023-08-28,2023-09-03,P.M.P AGNEAUX,7.96,-0.04,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S35.csv
2023,35,,2023-08-28,2023-09-03,MOYENNE AGNEAUX METROPOLE RUNGIS,8.1,0.08,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S35.csv
2023,36,,2023-09-04,2023-09-10,P.M.P AGNEAUX,8,0.04,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S36.csv
2023,36,,2023-09-04,2023-09-10,MOYENNE AGNEAUX METROPOLE RUNGIS,8.1,0,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S36.csv
2023,37,,2023-09-11,2023-09-17,P.M.P AGNEAUX,7.98,-0.02,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S37.csv
2023,37,,2023-09-11,2023-09-17,MOYENNE AGNEAUX METROPOLE RUNGIS,8.16,0.06,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S37.csv
2023,38,,2023-09-18,2023-09-24,P.M.P AGNEAUX,8.04,0.06,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S38.csv
2023,38,,2023-09-18,2023-09-24,MOYENNE AGNEAUX METROPOLE RUNGIS,8.2,0.04,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S38.csv
2023,39,,2023-09-25,2023-10-01,P.M.P AGNEAUX,8.04,0,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S39.csv
2023,39,,2023-09-25,2023-10-01,MOYENNE AGNEAUX METROPOLE RUNGIS,8.2,0,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S39.csv
2023,40,,2023-10-02,2023-10-08,P.M.P AGNEAUX,8.09,0.05,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S40.csv
2023,40,,2023-10-02,2023-10-08,MOYENNE AGNEAUX METROPOLE RUNGIS,8.24,0.04,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S40.csv
2023,41,,2023-10-09,2023-10-15,P.M.P AGNEAUX,8.2,0.11,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S41.csv
2023,41,,2023-10-09,2023-10-15,MOYENNE AGNEAUX METROPOLE RUNGIS,8.34,0.1,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S41.csv
2023,42,,2023-10-16,2023-10-22,P.M.P AGNEAUX,8.34,0.14,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S42.csv
2023,42,,2023-10-16,2023-10-22,MOYENNE AGNEAUX METROPOLE RUNGIS,8.41,0.07,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S42.csv
2023,43,,2023-10-23,2023-10-29,P.M.P AGNEAUX,8.35,0.01,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S43.csv
2023,43,,2023-10-23,2023-10-29,MOYENNE AGNEAUX METROPOLE RUNGIS,8.45,0.04,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S43.csv
2023,44,,2023-10-30,2023-11-05,P.M.P AGNEAUX,8.44,0.09,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S44.csv
2023,44,,2023-10-30,2023-11-05,MOYENNE AGNEAUX METROPOLE RUNGIS,8.48,0.03,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S44.csv
2023,45,,2023-11-06,2023-11-12,P.M.P AGNEAUX,8.53,0.09,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S45.csv
2023,45,,2023-11-06,2023-11-12,MOYENNE AGNEAUX METROPOLE RUNGIS,8.61,0.13,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S45.csv
2023,46,,2023-11-13,2023-11-19,P.M.P AGNEAUX,8.57,0.04,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S46.csv
2023,46,,2023-11-13,2023-11-19,MOYENNE AGNEAUX METROPOLE RUNGIS,8.75,0.14,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S46.csv
2023,47,,2023-11-20,2023-11-26,P.M.P AGNEAUX,8.59,0.02,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S47.csv
2023,47,,2023-11-20,2023-11-26,MOYENNE AGNEAUX METROPOLE RUNGIS,8.81,0.06,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S47.csv
2023,48,,2023-11-27,2023-12-03,P.M.P AGNEAUX,8.72,0.13,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S48.csv
2023,48,,2023-11-27,2023-12-03,MOYENNE AGNEAUX METROPOLE RUNGIS,8.85,0.04,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S48.csv
2023,49,,2023-12-04,2023-12-10,P.M.P AGNEAUX,8.73,0.01,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S49.csv
2023,49,,2023-12-04,2023-12-10,MOYENNE AGNEAUX METROPOLE RUNGIS,9,0.15,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S49.csv
2023,50,,2023-12-11,2023-12-17,P.M.P AGNEAUX,8.86,0.13,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S50.csv
2023,50,,2023-12-11,2023-12-17,MOYENNE AGNEAUX METROPOLE RUNGIS,9.08,0.08,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S50.csv
2023,51,,2023-12-18,2023-12-24,P.M.P AGNEAUX,8.91,0.05,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S51.csv
2023,51,,2023-12-18,2023-12-24,MOYENNE AGNEAUX METROPOLE RUNGIS,9.22,0.14,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S51.csv
2023,52,,2023-12-25,2023-12-31,P.M.P AGNEAUX,8.93,0.02,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S52.csv
2023,52,,2023-12-25,2023-12-31,MOYENNE AGNEAUX METROPOLE RUNGIS,9.3,0.08,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S52.csv
