annee,semaine,mois,date_debut,date_fin,marche,race,sexe,age_mois,classe,poids_kg,unite,prix,variation,source
2023,11,,2023-03-13,2023-03-19,TOULOUSE,Blond D'Aquitaine,Mâle,6/12,U,300,EUR/kg vif,4.15,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,TOULOUSE,Blond D'Aquitaine,Femelle,6/12,U,270,EUR/kg vif,3.3,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,TOULOUSE,Aubrac/Gascons,Mâle,6/12,U,300,EUR/kg vif,3.45,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,TOULOUSE,Aubrac/Gascons,Mâle,6/12,U,350,EUR/kg vif,3.4,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,TOULOUSE,Aubrac/Gascons,Mâle,6/12,U,400,EUR/kg vif,0.1,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,TOULOUSE,Limousins,Mâle,6/12,R,250,EUR/kg vif,0.05,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,TOULOUSE,Limousins,Mâle,6/12,R,300,EUR/kg vif,0.05,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,TOULOUSE,Limousins,Mâle,6/12,R,350,EUR/kg vif,0.05,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,TOULOUSE,Limousins,Femelle,6/12,R,270,EUR/kg vif,2.85,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,TOULOUSE,Croises,Mâle,6/12,R,300,EUR/kg vif,0.05,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,TOULOUSE,Croises,Mâle,6/12,R,350,EUR/kg vif,0.05,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,TOULOUSE,Croises,Mâle,6/12,R,400,EUR/kg vif,0.05,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,TOULOUSE,Croises,Mâle,12/24,R,450,EUR/kg vif,0.05,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,TOULOUSE,Croises,Mâle,12/24,R,500,EUR/kg vif,0.05,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,TOULOUSE,Croises,Femelle,6/12,R,270,EUR/kg vif,2.8,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,TOULOUSE,Croises,Femelle,12/24,R,400,EUR/kg vif,2.75,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,TOULOUSE,Blond D'Aquitaine,Mâle,6/12,R,250,EUR/kg vif,3,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,TOULOUSE,Blond D'Aquitaine,Mâle,6/12,R,300,EUR/kg vif,2.95,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,TOULOUSE,Blond D'Aquitaine,Femelle,6/12,R,270,EUR/kg vif,2.85,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,TOULOUSE,Aubrac/Gascons,Mâle,6/12,R,300,EUR/kg vif,0.05,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,TOULOUSE,Aubrac/Gascons,Mâle,6/12,R,350,EUR/kg vif,0.05,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,TOULOUSE,Aubrac/Gascons,Mâle,6/12,R,400,EUR/kg vif,0.15,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,NANTES,Limousins,Mâle,6/12,U,300,EUR/kg vif,0.03,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,NANTES,Limousins,Mâle,6/12,U,350,EUR/kg vif,0.03,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,NANTES,Charolais,Mâle,6/12,U,300,EUR/kg vif,0.03,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,NANTES,Charolais,Mâle,6/12,U,350,EUR/kg vif,0.03,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,NANTES,Blond D'Aquitaine,Mâle,6/12,U,250,EUR/kg vif,0.03,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,NANTES,Blond D'Aquitaine,Mâle,6/12,U,300,EUR/kg vif,0.03,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,NANTES,Blond D'Aquitaine,Mâle,6/12,U,350,EUR/kg vif,0.03,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,NANTES,Limousins,Mâle,6/12,R,300,EUR/kg vif,0.03,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,NANTES,Charolais,Mâle,6/12,R,300,EUR/kg vif,0.03,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,MOYENNE NATIONALE,Limousins,Mâle,6/12,E,250,EUR/kg vif,0.05,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,MOYENNE NATIONALE,Limousins,Mâle,6/12,E,300,EUR/kg vif,0.05,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,MOYENNE NATIONALE,Limousins,Mâle,6/12,E,350,EUR/kg vif,0.05,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,MOYENNE NATIONALE,Limousins,Femelle,6/12,E,270,EUR/kg vif,3.3,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,MOYENNE NATIONALE,Croises,Mâle,6/12,E,350,EUR/kg vif,3.55,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,MOYENNE NATIONALE,Blond D'Aquitaine,Mâle,6/12,E,250,EUR/kg vif,4.6,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,MOYENNE NATIONALE,Blond D'Aquitaine,Mâle,6/12,E,300,EUR/kg vif,4.35,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,MOYENNE NATIONALE,Blond D'Aquitaine,Femelle,6/12,E,270,EUR/kg vif,4.1,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,MOYENNE NATIONALE,Limousins,Mâle,6/12,U,250,EUR/kg vif,0.05,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,MOYENNE NATIONALE,Limousins,Mâle,6/12,U,300,EUR/kg vif,0.05,,COT-VRO-GB_maigres-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,MOYENNE NATIONALE,Limousins,Mâle,6/12,U,350,EUR/kg vif,0.05,,COT-VRO-GB_maigres-A23-S11.csv
