annee,semaine,mois,date_debut,date_fin,mode,region,couleur,conformation,unite,prix,variation,source
2023,2,,2023-01-09,2023-01-15,Élevés au pis,SUD,ROSE TRES CLAIR,U,EUR/kg carcasse,9.82,-0.02,COT-VRO-veaux_bouch_pis-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Élevés au pis,SUD,ROSE CLAIR,E,EUR/kg carcasse,9.97,-0.28,COT-VRO-veaux_bouch_pis-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Élevés au pis,SUD,ROSE CLAIR,U,EUR/kg carcasse,9.38,0.02,COT-VRO-veaux_bouch_pis-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Élevés au pis,SUD,ROSE CLAIR,R,EUR/kg carcasse,7.6,,COT-VRO-veaux_bouch_pis-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Élevés au pis,COTATION NATIONALE,ROSE TRES CLAIR,E,EUR/kg carcasse,10.73,0.13,COT-VRO-veaux_bouch_pis-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Élevés au pis,COTATION NATIONALE,ROSE TRES CLAIR,U,EUR/kg carcasse,9.82,-0.02,COT-VRO-veaux_bouch_pis-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Élevés au pis,COTATION NATIONALE,ROSE CLAIR,E,EUR/kg carcasse,9.97,-0.28,COT-VRO-veaux_bouch_pis-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Élevés au pis,COTATION NATIONALE,ROSE CLAIR,U,EUR/kg carcasse,9.38,0.02,COT-VRO-veaux_bouch_pis-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Élevés au pis,COTATION NATIONALE,ROSE CLAIR,R,EUR/kg carcasse,7.6,,COT-VRO-veaux_bouch_pis-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Ensemble,NORD,ROSE TRES CLAIR,R,EUR/kg carcasse,7.99,0.04,COT-VRO-veaux_bouch_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Ensemble,NORD,ROSE TRES CLAIR,P,EUR/kg carcasse,6.77,,COT-VRO-veaux_bouch_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Ensemble,NORD,ROSE CLAIR,U,EUR/kg carcasse,8.52,0.06,COT-VRO-veaux_bouch_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Ensemble,NORD,ROSE CLAIR,R,EUR/kg carcasse,7.76,0.01,COT-VRO-veaux_bouch_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Ensemble,NORD,ROSE CLAIR,O,EUR/kg carcasse,7.58,-0.01,COT-VRO-veaux_bouch_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Ensemble,NORD,ROSE CLAIR,P,EUR/kg carcasse,6.59,0.01,COT-VRO-veaux_bouch_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Ensemble,NORD,ROSE,U,EUR/kg carcasse,5.57,-0.13,COT-VRO-veaux_bouch_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Ensemble,NORD,ROSE,R,EUR/kg carcasse,5.39,-0.12,COT-VRO-veaux_bouch_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Ensemble,NORD,ROSE,O,EUR/kg carcasse,5.31,0.05,COT-VRO-veaux_bouch_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Ensemble,NORD,ROSE,P,EUR/kg carcasse,4.93,0.04,COT-VRO-veaux_bouch_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Ensemble,SUD,ROSE TRES CLAIR,O,EUR/kg carcasse,7.29,-0.01,COT-VRO-veaux_bouch_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Ensemble,SUD,ROSE CLAIR,U,EUR/kg carcasse,8.87,0.01,COT-VRO-veaux_bouch_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Ensemble,SUD,ROSE CLAIR,R,EUR/kg carcasse,7.87,0,COT-VRO-veaux_bouch_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Ensemble,SUD,ROSE CLAIR,O,EUR/kg carcasse,7.28,0.03,COT-VRO-veaux_bouch_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Ensemble,SUD,ROSE CLAIR,P,EUR/kg carcasse,6.48,-0.01,COT-VRO-veaux_bouch_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Ensemble,SUD,ROSE,U,EUR/kg carcasse,7.2,,COT-VRO-veaux_bouch_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Ensemble,SUD,ROSE,R,EUR/kg carcasse,6.72,0,COT-VRO-veaux_bouch_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Ensemble,SUD,ROSE,O,EUR/kg carcasse,6.4,0.01,COT-VRO-veaux_bouch_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Ensemble,SUD,ROSE,P,EUR/kg carcasse,5.87,-0.01,COT-VRO-veaux_bouch_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Ensemble,COTATION NATIONALE,ROSE TRES CLAIR,E,EUR/kg carcasse,10.73,0.13,COT-VRO-veaux_bouch_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Ensemble,COTATION NATIONALE,ROSE TRES CLAIR,U,EUR/kg carcasse,9.82,-0.02,COT-VRO-veaux_bouch_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Ensemble,COTATION NATIONALE,ROSE TRES CLAIR,R,EUR/kg carcasse,7.99,0.04,COT-VRO-veaux_bouch_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Ensemble,COTATION NATIONALE,ROSE TRES CLAIR,O,EUR/kg carcasse,7.29,-0.01,COT-VRO-veaux_bouch_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Ensemble,COTATION NATIONALE,ROSE TRES CLAIR,P,EUR/kg carcasse,6.77,0.18,COT-VRO-veaux_bouch_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Ensemble,COTATION NATIONALE,ROSE CLAIR,E,EUR/kg carcasse,9.97,-0.28,COT-VRO-veaux_bouch_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Ensemble,COTATION NATIONALE,ROSE CLAIR,U,EUR/kg carcasse,8.75,0.07,COT-VRO-veaux_bouch_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Ensemble,COTATION NATIONALE,ROSE CLAIR,R,EUR/kg carcasse,7.8,0.01,COT-VRO-veaux_bouch_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Ensemble,COTATION NATIONALE,ROSE CLAIR,O,EUR/kg carcasse,7.46,0,COT-VRO-veaux_bouch_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Ensemble,COTATION NATIONALE,ROSE CLAIR,P,EUR/kg carcasse,6.55,0,COT-VRO-veaux_bouch_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Ensemble,COTATION NATIONALE,ROSE,U,EUR/kg carcasse,6.09,-0.41,COT-VRO-veaux_bouch_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Ensemble,COTATION NATIONALE,ROSE,R,EUR/kg carcasse,5.82,-0.28,COT-VRO-veaux_bouch_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Ensemble,COTATION NATIONALE,ROSE,O,EUR/kg carcasse,5.63,0.08,COT-VRO-veaux_bouch_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Ensemble,COTATION NATIONALE,ROSE,P,EUR/kg carcasse,5.22,0.11,COT-VRO-veaux_bouch_synthese-A23-S02.csv
2023,3,,2023-01-16,2023-01-22,Non élevés au pis,NORD,ROSE TRES CLAIR,R,EUR/kg carcasse,7.99,0,COT-VRO-veaux_bouch_non_pis-A23-S03.csv
2023,3,,2023-01-16,2023-01-22,Non élevés au pis,NORD,ROSE CLAIR,U,EUR/kg carcasse,8.52,0,COT-VRO-veaux_bouch_non_pis-A23-S03.csv
