annee,semaine,mois,date_debut,date_fin,espece,etat_engraissement,conformation,zone,poids,unite,prix,variation,source
2023,2,,2023-01-09,2023-01-15,Agneaux,2 (ciré),R,Zone Nord,19 a 22 kg,EUR/kg carcasse,8.56,-0.32,COT-VRO-ovins_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Agneaux,2 (ciré),R,Zone Sud,13 a 16 kg,EUR/kg carcasse,8.42,-0.25,COT-VRO-ovins_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Agneaux,2 (ciré),R,Zone Sud,16 a 19 kg,EUR/kg carcasse,8.45,-0.14,COT-VRO-ovins_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Agneaux,2 (ciré),R,Moyennes Regions,13 a 16 kg,EUR/kg carcasse,8.36,-0.13,COT-VRO-ovins_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Agneaux,2 (ciré),R,Moyennes Regions,16 a 19 kg,EUR/kg carcasse,8.57,-0.06,COT-VRO-ovins_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Agneaux,2 (ciré),R,Moyennes Regions,19 a 22 kg,EUR/kg carcasse,8.52,-0.27,COT-VRO-ovins_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Agneaux,2 (ciré),O,Moyennes Regions,13 a 16 kg,EUR/kg carcasse,7.6,-0.48,COT-VRO-ovins_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Agneaux,2 (ciré),O,Moyennes Regions,16 a 19 kg,EUR/kg carcasse,7.55,,COT-VRO-ovins_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Agneaux,3 (couvert),U,Zone Nord,16 a 19 kg,EUR/kg carcasse,8.8,-0.1,COT-VRO-ovins_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Agneaux,3 (couvert),U,Zone Nord,19 a 22 kg,EUR/kg carcasse,8.82,-0.01,COT-VRO-ovins_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Agneaux,3 (couvert),U,Zone Nord,+ de 22 kg,EUR/kg carcasse,7.72,-0.06,COT-VRO-ovins_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Agneaux,3 (couvert),U,Zone Sud,19 a 22 kg,EUR/kg carcasse,8.58,,COT-VRO-ovins_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Agneaux,3 (couvert),U,Moyennes Regions,16 a 19 kg,EUR/kg carcasse,8.8,-0.1,COT-VRO-ovins_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Agneaux,3 (couvert),U,Moyennes Regions,19 a 22 kg,EUR/kg carcasse,8.78,-0.03,COT-VRO-ovins_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Agneaux,3 (couvert),U,Moyennes Regions,+ de 22 kg,EUR/kg carcasse,7.75,-0.04,COT-VRO-ovins_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Agneaux,3 (couvert),R,Zone Nord,13 a 16 kg,EUR/kg carcasse,8.32,-0.14,COT-VRO-ovins_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Agneaux,3 (couvert),R,Zone Nord,16 a 19 kg,EUR/kg carcasse,8.48,-0.06,COT-VRO-ovins_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Agneaux,3 (couvert),R,Zone Nord,19 a 22 kg,EUR/kg carcasse,8.46,-0.09,COT-VRO-ovins_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Agneaux,3 (couvert),R,Zone Nord,+ de 22 kg,EUR/kg carcasse,7.92,0,COT-VRO-ovins_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Agneaux,3 (couvert),R,Zone Sud,13 a 16 kg,EUR/kg carcasse,8.49,-0.19,COT-VRO-ovins_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Agneaux,3 (couvert),R,Zone Sud,16 a 19 kg,EUR/kg carcasse,8.43,-0.15,COT-VRO-ovins_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Agneaux,3 (couvert),R,Zone Sud,19 a 22 kg,EUR/kg carcasse,8.12,-0.14,COT-VRO-ovins_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Agneaux,3 (couvert),R,Zone Sud,+ de 22 kg,EUR/kg carcasse,7.66,,COT-VRO-ovins_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Agneaux,3 (couvert),R,Moyennes Regions,13 a 16 kg,EUR/kg carcasse,8.45,-0.19,COT-VRO-ovins_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Agneaux,3 (couvert),R,Moyennes Regions,16 a 19 kg,EUR/kg carcasse,8.44,-0.13,COT-VRO-ovins_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Agneaux,3 (couvert),R,Moyennes Regions,19 a 22 kg,EUR/kg carcasse,8.24,-0.12,COT-VRO-ovins_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Agneaux,3 (couvert),R,Moyennes Regions,+ de 22 kg,EUR/kg carcasse,7.84,0.01,COT-VRO-ovins_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Agneaux,3 (couvert),O,Zone Nord,13 a 16 kg,EUR/kg carcasse,8.12,,COT-VRO-ovins_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Agneaux,3 (couvert),O,Zone Nord,16 a 19 kg,EUR/kg carcasse,8.27,-0.09,COT-VRO-ovins_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Agneaux,3 (couvert),O,Zone Nord,19 a 22 kg,EUR/kg carcasse,8.33,-0.1,COT-VRO-ovins_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Agneaux,3 (couvert),O,Zone Nord,+ de 22 kg,EUR/kg carcasse,7.67,,COT-VRO-ovins_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Agneaux,3 (couvert),O,Zone Sud,13 a 16 kg,EUR/kg carcasse,8.09,-0.15,COT-VRO-ovins_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Agneaux,3 (couvert),O,Zone Sud,16 a 19 kg,EUR/kg carcasse,7.91,-0.09,COT-VRO-ovins_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Agneaux,3 (couvert),O,Zone Sud,19 a 22 kg,EUR/kg carcasse,7.73,-0.12,COT-VRO-ovins_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Agneaux,3 (couvert),O,Moyennes Regions,13 a 16 kg,EUR/kg carcasse,8.09,-0.16,COT-VRO-ovins_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Agneaux,3 (couvert),O,Moyennes Regions,16 a 19 kg,EUR/kg carcasse,8.06,-0.04,COT-VRO-ovins_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Agneaux,3 (couvert),O,Moyennes Regions,19 a 22 kg,EUR/kg carcasse,8.11,0.08,COT-VRO-ovins_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Agneaux,3 (couvert),O,Moyennes Regions,+ de 22 kg,EUR/kg carcasse,7.56,,COT-VRO-ovins_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Agneaux,4 (gras),R,Zone Sud,16 a 19 kg,EUR/kg carcasse,7.89,-0.15,COT-VRO-ovins_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Agneaux,4 (gras),R,Moyennes Regions,16 a 19 kg,EUR/kg carcasse,7.84,-0.13,COT-VRO-ovins_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Agneaux,4 (gras),R,Moyennes Regions,19 a 22 kg,EUR/kg carcasse,7.36,,COT-VRO-ovins_synthese-A23-S02.csv
2023,3,,2023-01-16,2023-01-22,Agneaux,2 (ciré),U,Zone Nord,16 a 19 kg,EUR/kg carcasse,9.17,-0.02,COT-VRO-ovins_synthese-A23-S03.csv
2023,3,,2023-01-16,2023-01-22,Agneaux,2 (ciré),U,Zone Nord,19 a 22 kg,EUR/kg carcasse,9.15,0.05,COT-VRO-ovins_synthese-A23-S03.csv
2023,3,,2023-01-16,2023-01-22,Agneaux,2 (ciré),U,Moyennes Regions,16 a 19 kg,EUR/kg carcasse,9.17,-0.02,COT-VRO-ovins_synthese-A23-S03.csv
2023,3,,2023-01-16,2023-01-22,Agneaux,2 (ciré),U,Moyennes Regions,19 a 22 kg,EUR/kg carcasse,9.15,0.05,COT-VRO-ovins_synthese-A23-S03.csv
2023,3,,2023-01-16,2023-01-22,Agneaux,2 (ciré),R,Zone Nord,13 a 16 kg,EUR/kg carcasse,8.34,0.02,COT-VRO-ovins_synthese-A23-S03.csv
2023,3,,2023-01-16,2023-01-22,Agneaux,2 (ciré),R,Zone Nord,16 a 19 kg,EUR/kg carcasse,8.65,0.03,COT-VRO-ovins_synthese-A23-S03.csv
2023,3,,2023-01-16,2023-01-22,Agneaux,2 (ciré),R,Zone Nord,19 a 22 kg,EUR/kg carcasse,8.68,0.12,COT-VRO-ovins_synthese-A23-S03.csv
2023,3,,2023-01-16,2023-01-22,Agneaux,2 (ciré),R,Zone Sud,16 a 19 kg,EUR/kg carcasse,8.38,-0.07,COT-VRO-ovins_synthese-A23-S03.csv
2023,3,,2023-01-16,2023-01-22,Agneaux,2 (ciré),R,Moyennes Regions,13 a 16 kg,EUR/kg carcasse,8.38,0.02,COT-VRO-ovins_synthese-A23-S03.csv
2023,3,,2023-01-16,2023-01-22,Agneaux,2 (ciré),R,Moyennes Regions,16 a 19 kg,EUR/kg carcasse,8.57,0,COT-VRO-ovins_synthese-A23-S03.csv
2023,3,,2023-01-16,2023-01-22,Agneaux,2 (ciré),R,Moyennes Regions,19 a 22 kg,EUR/kg carcasse,8.59,0.07,COT-VRO-ovins_synthese-A23-S03.csv
2023,3,,2023-01-16,2023-01-22,Agneaux,2 (ciré),O,Moyennes Regions,13 a 16 kg,EUR/kg carcasse,7.57,-0.03,COT-VRO-ovins_synthese-A23-S03.csv
2023,3,,2023-01-16,2023-01-22,Agneaux,2 (ciré),O,Moyennes Regions,16 a 19 kg,EUR/kg carcasse,7.66,0.11,COT-VRO-ovins_synthese-A23-S03.csv
