annee,semaine,mois,date_debut,date_fin,poids,variation_pct,commentaire,unite,prix,variation,source
2024,12,,2024-03-18,2024-03-24,8 à 11 kg,5.12,"AUGMENTATION DE LA COTATION, VOLUME TRÈS IMPORTANT.;",EUR/kg vif,3.71,0.19,COT-VRO-caprins-A24-S12.csv
2024,13,,2024-03-25,2024-03-31,8 à 11 kg,0,RECONDUCTION DE LA COTATION.,EUR/kg vif,3.71,0,COT-VRO-caprins-A24-S13.csv
2024,14,,2024-04-01,2024-04-07,8 à 11 kg,-10.42,BAISSE DE LA COTATION.,EUR/kg vif,3.36,-0.35,COT-VRO-caprins-A24-S14.csv
2024,15,,2024-04-08,2024-04-14,8 à 11 kg,0,RECONDUCTION DE LA COTATION.,EUR/kg vif,3.36,0,COT-VRO-caprins-A24-S15.csv
2024,16,,2024-04-15,2024-04-21,8 à 11 kg,0,RECONDUCTION DE LA COTATION.,EUR/kg vif,3.36,0,COT-VRO-caprins-A24-S16.csv
2024,17,,2024-04-22,2024-04-28,8 à 11 kg,0,RECONDUCTION DE LA COTATION. VOLUME TOUJOURS IMPORTANT.,EUR/kg vif,3.36,0,COT-VRO-caprins-A24-S17.csv
2024,18,,2024-04-29,2024-05-05,8 à 11 kg,0,RECONDUCTION DE LA COTATION. VOLUME TOUJOURS IMPORTANT.,EUR/kg vif,3.36,0,COT-VRO-caprins-A24-S18.csv
2024,19,,2024-05-06,2024-05-12,8 à 11 kg,0,RECONDUCTION DE LA COTATION. VOLUME EN BAISSE.,EUR/kg vif,3.36,0,COT-VRO-caprins-A24-S19.csv
2024,20,,2024-05-13,2024-05-19,8 à 11 kg,0,RECONDUCTION DE LA COTATION.,EUR/kg vif,3.36,0,COT-VRO-caprins-A24-S20.csv
2024,21,,2024-05-20,2024-05-26,8 à 11 kg,0,RECONDUCTION DE LA COTATION.,EUR/kg vif,3.36,0,COT-VRO-caprins-A24-S21.csv
2024,22,,2024-05-27,2024-06-02,8 à 11 kg,0,RECONDUCTION DE LA COTATION. VOLUME À LA BAISSE.,EUR/kg vif,3.36,0,COT-VRO-caprins-A24-S22.csv
2024,38,,2024-09-16,2024-09-22,8 à 11 kg,,FIN DE LA TRÊVE ESTIVALE. REPRISE DE LA COTATION. VOLUME FAIBLE.,EUR/kg vif,3.56,,COT-VRO-caprins-A24-S38.csv
2024,39,,2024-09-23,2024-09-29,8 à 11 kg,0,RECONDUCTION DE LA COTATION.,EUR/kg vif,3.56,0,COT-VRO-caprins-A24-S39.csv
2024,40,,2024-09-30,2024-10-06,8 à 11 kg,0,"ACTUALISATION ANNUELLE DES COEFFICIENTS DE PONDÉRATION DES OPÉRATEURS. QAUNTITÉS EN HAUSSE, MAINTIENT DE LA COTATION.",EUR/kg vif,3.56,0,COT-VRO-caprins-A24-S40.csv
2024,41,,2024-10-07,2024-10-13,8 à 11 kg,0,RECONDUCTION DE LA COTATION.,EUR/kg vif,3.56,0,COT-VRO-caprins-A24-S41.csv
2024,42,,2024-10-14,2024-10-20,8 à 11 kg,0,RECONDUCTION.,EUR/kg vif,3.56,0,COT-VRO-caprins-A24-S42.csv
2024,43,,2024-10-21,2024-10-27,8 à 11 kg,0,RECONDUCTION DE LA COTATION. VOLUME EN AUGMENTATION.,EUR/kg vif,3.56,0,COT-VRO-caprins-A24-S43.csv
2024,44,,2024-10-28,2024-11-03,8 à 11 kg,0,RECONDUCTION DE LA COTATION. QUANTITÉS EN HAUSSE.,EUR/kg vif,3.56,0,COT-VRO-caprins-A24-S44.csv
2024,45,,2024-11-04,2024-11-10,8 à 11 kg,0,RECONDUCTION DE LA COTATION.,EUR/kg vif,3.56,0,COT-VRO-caprins-A24-S45.csv
2024,46,,2024-11-11,2024-11-17,8 à 11 kg,0,RECONDUCTION DE LA COTATION.,EUR/kg vif,3.56,0,COT-VRO-caprins-A24-S46.csv
2024,47,,2024-11-18,2024-11-24,8 à 11 kg,0,RECONDUCTION DE LA COTATION.,EUR/kg vif,3.56,0,COT-VRO-caprins-A24-S47.csv
2024,48,,2024-11-25,2024-12-01,8 à 11 kg,3,AUGMENTATION DE LA COTATION.,EUR/kg vif,3.67,0.11,COT-VRO-caprins-A24-S48.csv
2024,49,,2024-12-02,2024-12-08,8 à 11 kg,10.27,QUANTITÉS EN HAUSSE. AUGMENTATION DE LA COTATION POUR LES FÊTES DE NOËL.,EUR/kg vif,4.09,0.42,COT-VRO-caprins-A24-S49.csv
2024,50,,2024-12-09,2024-12-15,8 à 11 kg,10.11,"AUGMENTATION DE LA COTATION, QUANTITÉS EN HAUSSE.",EUR/kg vif,4.55,0.46,COT-VRO-caprins-A24-S50.csv
2024,51,,2024-12-16,2024-12-22,8 à 11 kg,0,RECONDUCTION DE LA COTATION.,EUR/kg vif,4.55,0,COT-VRO-caprins-A24-S51.csv
2024,52,,2024-12-23,2024-12-29,8 à 11 kg,0,RECONDUCTION COTATION. TRÈS FAIBLES QUANTITÉS.,EUR/kg vif,4.55,0,COT-VRO-caprins-A24-S52.csv
2025,1,,2024-12-30,2025-01-05,8 à 11 kg,-22.64,BAISSE DE LA COTATION. QUANTITÉS TRÈS FAIBLES.,EUR/kg vif,3.71,-0.84,COT-VRO-caprins-A25-S01.csv
2025,2,,2025-01-06,2025-01-12,8 à 11 kg,0,RECONDUCTION DE LA COTATION. TRÈS PEU DE VOLUME.,EUR/kg vif,3.71,0,COT-VRO-caprins-A25-S02.csv
2025,3,,2025-01-13,2025-01-19,8 à 11 kg,0,RECONDUCTION DE LA COTATION. VOLUME TRÈS FAIBLE.,EUR/kg vif,3.71,0,COT-VRO-caprins-A25-S03.csv
2025,4,,2025-01-20,2025-01-26,8 à 11 kg,0,"RECONDUCTION DE LA COTATION, VOLUMES FAIBLES.",EUR/kg vif,3.71,0,COT-VRO-caprins-A25-S04.csv
2025,5,,2025-01-27,2025-02-02,8 à 11 kg,0,RECONDUCTION DE LA COTATION.,EUR/kg vif,3.71,0,COT-VRO-caprins-A25-S05.csv
2025,6,,2025-02-03,2025-02-09,8 à 11 kg,-3.06,VOLUME EN AUGMENTATION.,EUR/kg vif,3.6,-0.11,COT-VRO-caprins-A25-S06.csv
2025,7,,2025-02-10,2025-02-16,8 à 11 kg,0,QUANTITÉS UNE NOUVELLE FOIS À LA HAUSSE.,EUR/kg vif,3.6,0,COT-VRO-caprins-A25-S07.csv
2025,8,,2025-02-17,2025-02-23,8 à 11 kg,0,QUANTITÉS UNE NOUVELLE FOIS À LA HAUSSE.;;,EUR/kg vif,3.6,0,COT-VRO-caprins-A25-S08.csv
2025,9,,2025-02-24,2025-03-02,8 à 11 kg,0,"RECONDUCTION DE LA COTATION, QUANTITÉS UNE NOUVELLE FOIS À LA HAUSSE.",EUR/kg vif,3.6,0,COT-VRO-caprins-A25-S09.csv
2025,10,,2025-03-03,2025-03-09,8 à 11 kg,0,"RECONDUCTION DE LA COTATION. VOLUME TRÈS IMPORTANT, QUANTITÉS UNE NOUVELLE FOIS À LA HAUSSE.",EUR/kg vif,3.6,0,COT-VRO-caprins-A25-S10.csv
2025,11,,2025-03-10,2025-03-16,8 à 11 kg,0,QUANTITÉS UNE NOUVELLE FOIS À LA HAUSSE. RECONDUCTION DE LA COTATION. ;,EUR/kg vif,3.6,0,COT-VRO-caprins-A25-S11.csv
2025,12,,2025-03-17,2025-03-23,8 à 11 kg,0,"QUANTITÉS STABLES, RECONDUCTION DE LA COTATION.",EUR/kg vif,3.6,0,COT-VRO-caprins-A25-S12.csv
2025,13,,2025-03-24,2025-03-30,8 à 11 kg,0,QUANTITÉS STABLES.,EUR/kg vif,3.6,0,COT-VRO-caprins-A25-S13.csv
2025,14,,2025-03-31,2025-04-06,8 à 11 kg,4,,EUR/kg vif,3.75,0.15,COT-VRO-caprins-A25-S14.csv
2025,15,,2025-04-07,2025-04-13,8 à 11 kg,1.32,,EUR/kg vif,3.8,0.05,COT-VRO-caprins-A25-S15.csv
2025,16,,2025-04-14,2025-04-20,8 à 11 kg,0,RECONDUCTION DE LA COTATION.,EUR/kg vif,3.8,0,COT-VRO-caprins-A25-S16.csv
2025,17,,2025-04-21,2025-04-27,8 à 11 kg,-10.14,,EUR/kg vif,3.45,-0.35,COT-VRO-caprins-A25-S17.csv
2025,18,,2025-04-28,2025-05-04,8 à 11 kg,0,RECONDUCTION DE LA COTATION.,EUR/kg vif,3.45,0,COT-VRO-caprins-A25-S18.csv
2025,19,,2025-05-05,2025-05-11,8 à 11 kg,0,RECONDUCTION DES COURS. MARCHÉ DE CONGÉLATION.,EUR/kg vif,3.45,0,COT-VRO-caprins-A25-S19.csv
2025,20,,2025-05-12,2025-05-18,8 à 11 kg,0,MARCHÉ DE CONGÉLATION. TRÈS PEU DE DEMANDE EN FRAIS.,EUR/kg vif,3.45,0,COT-VRO-caprins-A25-S20.csv
2025,21,,2025-05-19,2025-05-25,8 à 11 kg,0,RECONDUCTION DE LA COTATION..,EUR/kg vif,3.45,0,COT-VRO-caprins-A25-S21.csv
2025,22,,2025-05-26,2025-06-01,8 à 11 kg,0,RECONDUCTION.,EUR/kg vif,3.45,0,COT-VRO-caprins-A25-S22.csv
2025,37,,2025-09-08,2025-09-14,8 à 11 kg,,VOLUME PEU IMPORTANT.,EUR/kg vif,3.74,,COT-VRO-caprins-A25-S37.csv
2025,38,,2025-09-15,2025-09-21,8 à 11 kg,0,VOLUME PEU IMPORTANT.,EUR/kg vif,3.74,0,COT-VRO-caprins-A25-S38.csv
2025,39,,2025-09-22,2025-09-28,8 à 11 kg,0.27,,EUR/kg vif,3.75,0.01,COT-VRO-caprins-A25-S39.csv
2025,40,,2025-09-29,2025-10-05,8 à 11 kg,0,,EUR/kg vif,3.75,0,COT-VRO-caprins-A25-S40.csv
2025,41,,2025-10-06,2025-10-12,8 à 11 kg,0,,EUR/kg vif,3.75,0,COT-VRO-caprins-A25-S41.csv
2025,42,,2025-10-13,2025-10-19,8 à 11 kg,0,,EUR/kg vif,3.75,0,COT-VRO-caprins-A25-S42.csv
2025,43,,2025-10-20,2025-10-26,8 à 11 kg,0,RECONDUCTION DE LA COTATION.,EUR/kg vif,3.75,0,COT-VRO-caprins-A25-S43.csv
2025,44,,2025-10-27,2025-11-02,8 à 11 kg,0,,EUR/kg vif,3.75,0,COT-VRO-caprins-A25-S44.csv
2025,45,,2025-11-03,2025-11-09,8 à 11 kg,0,,EUR/kg vif,3.75,0,COT-VRO-caprins-A25-S45.csv
2025,46,,2025-11-10,2025-11-16,8 à 11 kg,0,,EUR/kg vif,3.75,0,COT-VRO-caprins-A25-S46.csv
2025,47,,2025-11-17,2025-11-23,8 à 11 kg,0,,EUR/kg vif,3.75,0,COT-VRO-caprins-A25-S47.csv
