annee,semaine,mois,date_debut,date_fin,categorie,sexe,poids,prix,variation,unite,source
2023,10,,2023-03-06,2023-03-12,Engraissement laitier (assez bonne conformation),Mâle,< 45 kg,64,1,EUR/tête,COT-VRO-veaux14j_synthese-A23-S10.csv
2023,10,,2023-03-06,2023-03-12,Engraissement laitier (assez bonne conformation),Mâle,45 A 50 kg,88,1,EUR/tête,COT-VRO-veaux14j_synthese-A23-S10.csv
2023,10,,2023-03-06,2023-03-12,Engraissement laitier (assez bonne conformation),Mâle,50 A 60 kg,112,1,EUR/tête,COT-VRO-veaux14j_synthese-A23-S10.csv
2023,10,,2023-03-06,2023-03-12,"Prix moyen pondéré (0,3 élevage + 0,7 engraissement)",Mâle,,144,2,EUR/tête,COT-VRO-veaux14j_synthese-A23-S10.csv
2023,11,,2023-03-13,2023-03-19,Élevage supérieur,Mâle,,231,4,EUR/tête,COT-VRO-veaux14j_synthese-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,Élevage supérieur,Femelle,,193,2,EUR/tête,COT-VRO-veaux14j_synthese-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,Engraissement laitier (assez bonne conformation),Mâle,< 45 kg,66,2,EUR/tête,COT-VRO-veaux14j_synthese-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,Engraissement laitier (assez bonne conformation),Mâle,45 A 50 kg,88,0,EUR/tête,COT-VRO-veaux14j_synthese-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,Engraissement laitier (assez bonne conformation),Mâle,50 A 60 kg,112,0,EUR/tête,COT-VRO-veaux14j_synthese-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,"Prix moyen pondéré (0,3 élevage + 0,7 engraissement)",Mâle,,146,2,EUR/tête,COT-VRO-veaux14j_synthese-A23-S11.csv
2023,12,,2023-03-20,2023-03-26,Élevage supérieur,Mâle,,233,2,EUR/tête,COT-VRO-veaux14j_synthese-A23-S12.csv
2023,12,,2023-03-20,2023-03-26,Élevage supérieur,Femelle,,194,1,EUR/tête,COT-VRO-veaux14j_synthese-A23-S12.csv
2023,12,,2023-03-20,2023-03-26,Engraissement laitier (assez bonne conformation),Mâle,< 45 kg,64,-2,EUR/tête,COT-VRO-veaux14j_synthese-A23-S12.csv
2023,12,,2023-03-20,2023-03-26,Engraissement laitier (assez bonne conformation),Mâle,45 A 50 kg,90,2,EUR/tête,COT-VRO-veaux14j_synthese-A23-S12.csv
2023,12,,2023-03-20,2023-03-26,Engraissement laitier (assez bonne conformation),Mâle,50 A 60 kg,113,1,EUR/tête,COT-VRO-veaux14j_synthese-A23-S12.csv
2023,12,,2023-03-20,2023-03-26,"Prix moyen pondéré (0,3 élevage + 0,7 engraissement)",Mâle,,147,1,EUR/tête,COT-VRO-veaux14j_synthese-A23-S12.csv
2023,13,,2023-03-27,2023-04-02,Élevage supérieur,Mâle,,235,2,EUR/tête,COT-VRO-veaux14j_synthese-A23-S13.csv
2023,13,,2023-03-27,2023-04-02,Élevage supérieur,Femelle,,200,6,EUR/tête,COT-VRO-veaux14j_synthese-A23-S13.csv
2023,13,,2023-03-27,2023-04-02,Engraissement laitier (assez bonne conformation),Mâle,< 45 kg,64,0,EUR/tête,COT-VRO-veaux14j_synthese-A23-S13.csv
2023,13,,2023-03-27,2023-04-02,Engraissement laitier (assez bonne conformation),Mâle,45 A 50 kg,88,-2,EUR/tête,COT-VRO-veaux14j_synthese-A23-S13.csv
2023,13,,2023-03-27,2023-04-02,Engraissement laitier (assez bonne conformation),Mâle,50 A 60 kg,113,0,EUR/tête,COT-VRO-veaux14j_synthese-A23-S13.csv
2023,13,,2023-03-27,2023-04-02,"Prix moyen pondéré (0,3 élevage + 0,7 engraissement)",Mâle,,147,0,EUR/tête,COT-VRO-veaux14j_synthese-A23-S13.csv
2023,14,,2023-04-03,2023-04-09,Élevage supérieur,Mâle,,238,3,EUR/tête,COT-VRO-veaux14j_synthese-A23-S14.csv
2023,14,,2023-04-03,2023-04-09,Élevage supérieur,Femelle,,201,1,EUR/tête,COT-VRO-veaux14j_synthese-A23-S14.csv
2023,14,,2023-04-03,2023-04-09,Engraissement laitier (assez bonne conformation),Mâle,< 45 kg,72,8,EUR/tête,COT-VRO-veaux14j_synthese-A23-S14.csv
2023,14,,2023-04-03,2023-04-09,Engraissement laitier (assez bonne conformation),Mâle,45 A 50 kg,97,9,EUR/tête,COT-VRO-veaux14j_synthese-A23-S14.csv
2023,14,,2023-04-03,2023-04-09,Engraissement laitier (assez bonne conformation),Mâle,50 A 60 kg,121,8,EUR/tête,COT-VRO-veaux14j_synthese-A23-S14.csv
2023,14,,2023-04-03,2023-04-09,"Prix moyen pondéré (0,3 élevage + 0,7 engraissement)",Mâle,,153,6,EUR/tête,COT-VRO-veaux14j_synthese-A23-S14.csv
2023,15,,2023-04-10,2023-04-16,Élevage supérieur,Mâle,,240,2,EUR/tête,COT-VRO-veaux14j_synthese-A23-S15.csv
2023,15,,2023-04-10,2023-04-16,Élevage supérieur,Femelle,,200,-1,EUR/tête,COT-VRO-veaux14j_synthese-A23-S15.csv
2023,15,,2023-04-10,2023-04-16,Engraissement laitier (assez bonne conformation),Mâle,< 45 kg,76,4,EUR/tête,COT-VRO-veaux14j_synthese-A23-S15.csv
2023,15,,2023-04-10,2023-04-16,Engraissement laitier (assez bonne conformation),Mâle,45 A 50 kg,97,0,EUR/tête,COT-VRO-veaux14j_synthese-A23-S15.csv
2023,15,,2023-04-10,2023-04-16,Engraissement laitier (assez bonne conformation),Mâle,50 A 60 kg,121,0,EUR/tête,COT-VRO-veaux14j_synthese-A23-S15.csv
2023,15,,2023-04-10,2023-04-16,"Prix moyen pondéré (0,3 élevage + 0,7 engraissement)",Mâle,,155,2,EUR/tête,COT-VRO-veaux14j_synthese-A23-S15.csv
2023,16,,2023-04-17,2023-04-23,Élevage supérieur,Mâle,,259,19,EUR/tête,COT-VRO-veaux14j_synthese-A23-S16.csv
2023,16,,2023-04-17,2023-04-23,Élevage supérieur,Femelle,,216,16,EUR/tête,COT-VRO-veaux14j_synthese-A23-S16.csv
2023,16,,2023-04-17,2023-04-23,Engraissement laitier (assez bonne conformation),Mâle,< 45 kg,72,-4,EUR/tête,COT-VRO-veaux14j_synthese-A23-S16.csv
2023,16,,2023-04-17,2023-04-23,Engraissement laitier (assez bonne conformation),Mâle,45 A 50 kg,99,2,EUR/tête,COT-VRO-veaux14j_synthese-A23-S16.csv
2023,16,,2023-04-17,2023-04-23,Engraissement laitier (assez bonne conformation),Mâle,50 A 60 kg,122,1,EUR/tête,COT-VRO-veaux14j_synthese-A23-S16.csv
2023,16,,2023-04-17,2023-04-23,"Prix moyen pondéré (0,3 élevage + 0,7 engraissement)",Mâle,,162,7,EUR/tête,COT-VRO-veaux14j_synthese-A23-S16.csv
2023,17,,2023-04-24,2023-04-30,Élevage supérieur,Mâle,,260,1,EUR/tête,COT-VRO-veaux14j_synthese-A23-S17.csv
2023,17,,2023-04-24,2023-04-30,Élevage supérieur,Femelle,,215,-1,EUR/tête,COT-VRO-veaux14j_synthese-A23-S17.csv
2023,17,,2023-04-24,2023-04-30,Engraissement laitier (assez bonne conformation),Mâle,< 45 kg,76,4,EUR/tête,COT-VRO-veaux14j_synthese-A23-S17.csv
2023,17,,2023-04-24,2023-04-30,Engraissement laitier (assez bonne conformation),Mâle,45 A 50 kg,104,5,EUR/tête,COT-VRO-veaux14j_synthese-A23-S17.csv
2023,17,,2023-04-24,2023-04-30,Engraissement laitier (assez bonne conformation),Mâle,50 A 60 kg,127,5,EUR/tête,COT-VRO-veaux14j_synthese-A23-S17.csv
2023,17,,2023-04-24,2023-04-30,"Prix moyen pondéré (0,3 élevage + 0,7 engraissement)",Mâle,,166,4,EUR/tête,COT-VRO-veaux14j_synthese-A23-S17.csv
2023,18,,2023-05-01,2023-05-07,Élevage supérieur,Mâle,,261,1,EUR/tête,COT-VRO-veaux14j_synthese-A23-S18.csv
2023,18,,2023-05-01,2023-05-07,Élevage supérieur,Femelle,,217,2,EUR/tête,COT-VRO-veaux14j_synthese-A23-S18.csv
2023,18,,2023-05-01,2023-05-07,Engraissement laitier (assez bonne conformation),Mâle,< 45 kg,80,4,EUR/tête,COT-VRO-veaux14j_synthese-A23-S18.csv
2023,18,,2023-05-01,2023-05-07,Engraissement laitier (assez bonne conformation),Mâle,45 A 50 kg,103,-1,EUR/tête,COT-VRO-veaux14j_synthese-A23-S18.csv
2023,18,,2023-05-01,2023-05-07,Engraissement laitier (assez bonne conformation),Mâle,50 A 60 kg,127,0,EUR/tête,COT-VRO-veaux14j_synthese-A23-S18.csv
2023,18,,2023-05-01,2023-05-07,"Prix moyen pondéré (0,3 élevage + 0,7 engraissement)",Mâle,,166,0,EUR/tête,COT-VRO-veaux14j_synthese-A23-S18.csv
2023,19,,2023-05-08,2023-05-14,Élevage supérieur,Mâle,,258,-3,EUR/tête,COT-VRO-veaux14j_synthese-A23-S19.csv
2023,19,,2023-05-08,2023-05-14,Élevage supérieur,Femelle,,214,-3,EUR/tête,COT-VRO-veaux14j_synthese-A23-S19.csv
2023,19,,2023-05-08,2023-05-14,Engraissement laitier (assez bonne conformation),Mâle,< 45 kg,80,0,EUR/tête,COT-VRO-veaux14j_synthese-A23-S19.csv
2023,19,,2023-05-08,2023-05-14,Engraissement laitier (assez bonne conformation),Mâle,45 A 50 kg,103,0,EUR/tête,COT-VRO-veaux14j_synthese-A23-S19.csv
2023,19,,2023-05-08,2023-05-14,Engraissement laitier (assez bonne conformation),Mâle,50 A 60 kg,128,1,EUR/tête,COT-VRO-veaux14j_synthese-A23-S19.csv
2023,19,,2023-05-08,2023-05-14,"Prix moyen pondéré (0,3 élevage + 0,7 engraissement)",Mâle,,166,0,EUR/tête,COT-VRO-veaux14j_synthese-A23-S19.csv
2023,20,,2023-05-15,2023-05-21,Élevage supérieur,Mâle,,259,1,EUR/tête,COT-VRO-veaux14j_synthese-A23-S20.csv
2023,20,,2023-05-15,2023-05-21,Élevage supérieur,Femelle,,214,0,EUR/tête,COT-VRO-veaux14j_synthese-A23-S20.csv
2023,20,,2023-05-15,2023-05-21,Engraissement laitier (assez bonne conformation),Mâle,< 45 kg,76,-4,EUR/tête,COT-VRO-veaux14j_synthese-A23-S20.csv
2023,20,,2023-05-15,2023-05-21,Engraissement laitier (assez bonne conformation),Mâle,45 A 50 kg,104,1,EUR/tête,COT-VRO-veaux14j_synthese-A23-S20.csv
2023,20,,2023-05-15,2023-05-21,Engraissement laitier (assez bonne conformation),Mâle,50 A 60 kg,128,0,EUR/tête,COT-VRO-veaux14j_synthese-A23-S20.csv
2023,20,,2023-05-15,2023-05-21,"Prix moyen pondéré (0,3 élevage + 0,7 engraissement)",Mâle,,165,-1,EUR/tête,COT-VRO-veaux14j_synthese-A23-S20.csv
2023,21,,2023-05-22,2023-05-28,Élevage supérieur,Mâle,,266,7,EUR/tête,COT-VRO-veaux14j_synthese-A23-S21.csv
2023,21,,2023-05-22,2023-05-28,Élevage supérieur,Femelle,,222,8,EUR/tête,COT-VRO-veaux14j_synthese-A23-S21.csv
2023,21,,2023-05-22,2023-05-28,Engraissement laitier (assez bonne conformation),Mâle,< 45 kg,77,1,EUR/tête,COT-VRO-veaux14j_synthese-A23-S21.csv
2023,21,,2023-05-22,2023-05-28,Engraissement laitier (assez bonne conformation),Mâle,45 A 50 kg,106,2,EUR/tête,COT-VRO-veaux14j_synthese-A23-S21.csv
2023,21,,2023-05-22,2023-05-28,Engraissement laitier (assez bonne conformation),Mâle,50 A 60 kg,131,3,EUR/tête,COT-VRO-veaux14j_synthese-A23-S21.csv
2023,21,,2023-05-22,2023-05-28,"Prix moyen pondéré (0,3 élevage + 0,7 engraissement)",Mâle,,169,4,EUR/tête,COT-VRO-veaux14j_synthese-A23-S21.csv
2023,22,,2023-05-29,2023-06-04,Élevage supérieur,Mâle,,269,3,EUR/tête,COT-VRO-veaux14j_synthese-A23-S22.csv
2023,22,,2023-05-29,2023-06-04,Élevage supérieur,Femelle,,226,4,EUR/tête,COT-VRO-veaux14j_synthese-A23-S22.csv
2023,22,,2023-05-29,2023-06-04,Engraissement laitier (assez bonne conformation),Mâle,< 45 kg,81,4,EUR/tête,COT-VRO-veaux14j_synthese-A23-S22.csv
2023,22,,2023-05-29,2023-06-04,Engraissement laitier (assez bonne conformation),Mâle,45 A 50 kg,108,2,EUR/tête,COT-VRO-veaux14j_synthese-A23-S22.csv
2023,22,,2023-05-29,2023-06-04,Engraissement laitier (assez bonne conformation),Mâle,50 A 60 kg,134,3,EUR/tête,COT-VRO-veaux14j_synthese-A23-S22.csv
2023,22,,2023-05-29,2023-06-04,"Prix moyen pondéré (0,3 élevage + 0,7 engraissement)",Mâle,,172,3,EUR/tête,COT-VRO-veaux14j_synthese-A23-S22.csv
2023,23,,2023-06-05,2023-06-11,Élevage supérieur,Mâle,,272,3,EUR/tête,COT-VRO-veaux14j_synthese-A23-S23.csv
2023,23,,2023-06-05,2023-06-11,Élevage supérieur,Femelle,,229,3,EUR/tête,COT-VRO-veaux14j_synthese-A23-S23.csv
2023,23,,2023-06-05,2023-06-11,Engraissement laitier (assez bonne conformation),Mâle,< 45 kg,83,2,EUR/tête,COT-VRO-veaux14j_synthese-A23-S23.csv
2023,23,,2023-06-05,2023-06-11,Engraissement laitier (assez bonne conformation),Mâle,45 A 50 kg,111,3,EUR/tête,COT-VRO-veaux14j_synthese-A23-S23.csv
2023,23,,2023-06-05,2023-06-11,Engraissement laitier (assez bonne conformation),Mâle,50 A 60 kg,135,1,EUR/tête,COT-VRO-veaux14j_synthese-A23-S23.csv
2023,23,,2023-06-05,2023-06-11,"Prix moyen pondéré (0,3 élevage + 0,7 engraissement)",Mâle,,177,5,EUR/tête,COT-VRO-veaux14j_synthese-A23-S23.csv
2023,24,,2023-06-12,2023-06-18,Élevage supérieur,Mâle,,274,2,EUR/tête,COT-VRO-veaux14j_synthese-A23-S24.csv
2023,24,,2023-06-12,2023-06-18,Élevage supérieur,Femelle,,231,2,EUR/tête,COT-VRO-veaux14j_synthese-A23-S24.csv
2023,24,,2023-06-12,2023-06-18,Engraissement laitier (assez bonne conformation),Mâle,< 45 kg,84,1,EUR/tête,COT-VRO-veaux14j_synthese-A23-S24.csv
2023,24,,2023-06-12,2023-06-18,Engraissement laitier (assez bonne conformation),Mâle,45 A 50 kg,114,3,EUR/tête,COT-VRO-veaux14j_synthese-A23-S24.csv
2023,24,,2023-06-12,2023-06-18,Engraissement laitier (assez bonne conformation),Mâle,50 A 60 kg,138,3,EUR/tête,COT-VRO-veaux14j_synthese-A23-S24.csv
2023,24,,2023-06-12,2023-06-18,"Prix moyen pondéré (0,3 élevage + 0,7 engraissement)",Mâle,,179,2,EUR/tête,COT-VRO-veaux14j_synthese-A23-S24.csv
2023,25,,2023-06-19,2023-06-25,Élevage supérieur,Mâle,,276,2,EUR/tête,COT-VRO-veaux14j_synthese-A23-S25.csv
2023,25,,2023-06-19,2023-06-25,Élevage supérieur,Femelle,,235,4,EUR/tête,COT-VRO-veaux14j_synthese-A23-S25.csv
2023,25,,2023-06-19,2023-06-25,Engraissement laitier (assez bonne conformation),Mâle,< 45 kg,91,7,EUR/tête,COT-VRO-veaux14j_synthese-A23-S25.csv
2023,25,,2023-06-19,2023-06-25,Engraissement laitier (assez bonne conformation),Mâle,45 A 50 kg,118,4,EUR/tête,COT-VRO-veaux14j_synthese-A23-S25.csv
2023,25,,2023-06-19,2023-06-25,Engraissement laitier (assez bonne conformation),Mâle,50 A 60 kg,142,4,EUR/tête,COT-VRO-veaux14j_synthese-A23-S25.csv
2023,25,,2023-06-19,2023-06-25,"Prix moyen pondéré (0,3 élevage + 0,7 engraissement)",Mâle,,183,4,EUR/tête,COT-VRO-veaux14j_synthese-A23-S25.csv
2023,26,,2023-06-26,2023-07-02,Élevage supérieur,Mâle,,276,0,EUR/tête,COT-VRO-veaux14j_synthese-A23-S26.csv
2023,26,,2023-06-26,2023-07-02,Élevage supérieur,Femelle,,234,-1,EUR/tête,COT-VRO-veaux14j_synthese-A23-S26.csv
2023,26,,2023-06-26,2023-07-02,Engraissement laitier (assez bonne conformation),Mâle,< 45 kg,89,-2,EUR/tête,COT-VRO-veaux14j_synthese-A23-S26.csv
2023,26,,2023-06-26,2023-07-02,Engraissement laitier (assez bonne conformation),Mâle,45 A 50 kg,118,0,EUR/tête,COT-VRO-veaux14j_synthese-A23-S26.csv
2023,26,,2023-06-26,2023-07-02,Engraissement laitier (assez bonne conformation),Mâle,50 A 60 kg,142,0,EUR/tête,COT-VRO-veaux14j_synthese-A23-S26.csv
2023,26,,2023-06-26,2023-07-02,"Prix moyen pondéré (0,3 élevage + 0,7 engraissement)",Mâle,,182,-1,EUR/tête,COT-VRO-veaux14j_synthese-A23-S26.csv
2023,27,,2023-07-03,2023-07-09,Élevage supérieur,Mâle,,277,1,EUR/tête,COT-VRO-veaux14j_synthese-A23-S27.csv
2023,27,,2023-07-03,2023-07-09,Élevage supérieur,Femelle,,229,-5,EUR/tête,COT-VRO-veaux14j_synthese-A23-S27.csv
2023,27,,2023-07-03,2023-07-09,Engraissement laitier (assez bonne conformation),Mâle,< 45 kg,89,0,EUR/tête,COT-VRO-veaux14j_synthese-A23-S27.csv
2023,27,,2023-07-03,2023-07-09,Engraissement laitier (assez bonne conformation),Mâle,45 A 50 kg,118,0,EUR/tête,COT-VRO-veaux14j_synthese-A23-S27.csv
